,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
0,12013851,JD191098,2020-03-13T15:00:00.000,046XX W JACKSON BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1131,011,28,25,05,1145423,1898285,2020,2020-03-25T15:45:43.000,41.876891751,-87.741517829,"{'latitude': '41.876891751', 'longitude': '-87.741517829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1,12243263,JD456923,2020-12-11T19:15:00.000,070XX N WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,BARBERSHOP,False,False,2411,024,50,2,05,1159045,1946546,2020,2020-12-18T15:51:11.000,42.00905433,-87.690172193,"{'latitude': '42.00905433', 'longitude': '-87.690172193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2,12012798,JD189643,2020-03-18T15:20:00.000,030XX W 21ST PL,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1022,010,24,30,05,1156490,1889561,2020,2020-03-25T15:47:29.000,41.85273558,-87.701118816,"{'latitude': '41.85273558', 'longitude': '-87.701118816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3,12242514,JD455852,2020-12-11T03:00:00.000,055XX W POTOMAC AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2532,025,37,25,05,1139130,1908109,2020,2020-12-18T15:51:11.000,41.903966787,-87.764384971,"{'latitude': '41.903966787', 'longitude': '-87.764384971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
4,12242335,JD455741,2020-12-11T00:34:00.000,073XX W BELMONT AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1631,016,29,17,05,1126660,1920428,2020,2020-12-18T15:51:11.000,41.93798956,-87.809915127,"{'latitude': '41.93798956', 'longitude': '-87.809915127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
5,12242337,JD455772,2020-12-11T03:23:00.000,033XX N PULASKI RD,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1732,017,30,21,05,1149139,1921889,2020,2020-12-18T15:51:11.000,41.941592322,-87.727261298,"{'latitude': '41.941592322', 'longitude': '-87.727261298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6,12244950,JD459030,2020-12-11T12:00:00.000,040XX N MARMORA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1624,016,38,15,05,1136297,1926258,2020,2020-12-18T15:51:11.000,41.953820758,-87.774356837,"{'latitude': '41.953820758', 'longitude': '-87.774356837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
7,12131202,JD327249,2020-08-09T22:00:00.000,0000X E LAKE ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,0111,001,42,32,05,1176606,1901750,2020,2020-08-16T15:50:14.000,41.885752811,-87.626919124,"{'latitude': '41.885752811', 'longitude': '-87.626919124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
8,12015711,JD193164,2020-03-02T09:00:00.000,022XX S WOOD ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1034,010,25,31,05,1164726,1889031,2020,2020-03-25T15:45:43.000,41.851110835,-87.670905126,"{'latitude': '41.851110835', 'longitude': '-87.670905126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
9,12012448,JD189265,2020-03-18T01:30:00.000,022XX E 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,0333,003,5,43,05,1192617,1858298,2020,2020-03-25T15:47:29.000,41.766141754,-87.569543228,"{'latitude': '41.766141754', 'longitude': '-87.569543228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
10,12012677,JD189863,2020-03-18T10:30:00.000,003XX N PARKSIDE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1512,015,29,25,05,1138534,1901667,2020,2020-03-25T15:47:29.000,41.886299966,-87.766730531,"{'latitude': '41.886299966', 'longitude': '-87.766730531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
11,12012721,JD189656,2020-03-18T15:34:00.000,012XX W 50TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,True,False,0933,009,20,61,05,1169003,1871628,2020,2020-03-25T15:47:29.000,41.803263674,-87.655711449,"{'latitude': '41.803263674', 'longitude': '-87.655711449', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
12,12014638,JD185338,2020-03-14T00:00:00.000,025XX E 79TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0421,004,7,43,05,1194382,1853077,2020,2020-03-25T15:45:43.000,41.751771745,-87.563245313,"{'latitude': '41.751771745', 'longitude': '-87.563245313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13,12244716,JD458729,2020-12-11T14:00:00.000,068XX S MAY ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0724,007,16,68,05,1169832,1859399,2020,2020-12-18T15:51:11.000,41.769687895,-87.653025985,"{'latitude': '41.769687895', 'longitude': '-87.653025985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14,12013571,JD190643,2020-03-18T14:22:00.000,004XX N DEARBORN ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,1831,018,42,8,05,1175865,1903171,2020,2020-03-25T15:47:29.000,41.889668819,-87.629597402,"{'latitude': '41.889668819', 'longitude': '-87.629597402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
15,12131152,JD327204,2020-08-09T22:00:00.000,0000X E MADISON ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,0112,001,42,32,05,1177142,1900424,2020,2020-08-16T15:50:14.000,41.882102071,-87.624991038,"{'latitude': '41.882102071', 'longitude': '-87.624991038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
16,12130831,JD326695,2020-08-09T22:30:00.000,012XX E 72ND ST,0650,BURGLARY,HOME INVASION,RESIDENCE,False,True,0324,003,5,69,05,1185724,1857519,2020,2020-08-16T15:50:14.000,41.764169292,-87.594832667,"{'latitude': '41.764169292', 'longitude': '-87.594832667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
17,12130354,JD325987,2020-08-09T10:10:00.000,035XX W OGDEN AVE,0620,BURGLARY,UNLAWFUL ENTRY,OTHER (SPECIFY),False,False,1021,010,24,29,05,1153231,1890462,2020,2020-08-16T15:50:14.000,41.855273251,-87.713056548,"{'latitude': '41.855273251', 'longitude': '-87.713056548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
18,12014925,JD192026,2020-03-18T12:00:00.000,088XX S PAXTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0412,004,8,48,05,1192374,1846836,2020,2020-03-25T15:47:29.000,41.734694977,-87.570806222,"{'latitude': '41.734694977', 'longitude': '-87.570806222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
19,12007748,JD183965,2020-03-13T05:00:00.000,026XX W LAWRENCE AVE,0620,BURGLARY,UNLAWFUL ENTRY,BAR OR TAVERN,False,False,1911,019,40,4,05,1157997,1931783,2020,2020-03-25T15:45:43.000,41.968565569,-87.694433309,"{'latitude': '41.968565569', 'longitude': '-87.694433309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
