No.,POP
1,55628
2,77122
3,77122
4,77122
5,77122
6,77122
7,77122
8,77122
9,77122
10,77122
11,77122
12,77122
13,77122
14,77122
15,77122
16,77122
17,77122
18,77122
19,77122
20,77122
21,77122
22,77122
23,77122
24,77122
25,77122
26,77122
27,77122
28,77122
29,77122
30,77122
31,77122
32,77122
33,77122
34,77122
35,77122
36,77122
37,77122
38,77122
39,77122
40,77122
41,77122
42,77122
43,77122
44,77122
45,77122
46,77122
47,77122
48,77122
49,77122
50,77122
51,77122
52,77122
53,77122
54,77122
55,77122
56,77122
57,77122
58,77122
59,77122
60,77122
61,77122
62,77122
63,77122
64,77122
65,77122
66,77122
67,77122
68,77122
69,77122
70,77122
71,77122
72,77122
73,77122
74,77122
75,77122
76,77122
77,77122
